Year,State,Dose_1_Administered,Series_Completed
2021,AL,2662528,2168206
2021,AR,1656148,1396632
2021,AZ,4781269,4060910
2021,CA,31726210,25488909
2021,CO,4088347,3715822
2021,CT,3098929,2617840
2021,DE,719115,602399
2021,FL,15794425,13447634
2021,GA,3599575,3247385
2021,IA,1990193,1814190
2021,ID,907923,806743
2021,IL,8970204,7986960
2021,IN,3839217,3456387
2021,KS,1878431,1557952
2021,KY,2681345,2343057
2021,LA,2589139,2264187
2021,MA,5507478,4610193
2021,MD,4790997,4204427
2021,ME,1104132,984895
2021,MI,5757264,5438446
2021,MN,3786217,3492569
2021,MO,3479200,2973866
2021,MS,1614637,1405915
2021,MT,628757,553132
2021,NC,7802581,5800753
2021,ND,437008,371671
2021,NE,906779,1045045
2021,NH,1271504,862024
2021,NJ,7103712,5881145
2021,NM,1634808,1367526
2021,NV,2014205,1652257
2021,NY,15894909,13646693
2021,OH,6862707,6380905
2021,OK,2449820,1991616
2021,OR,3040925,2743634
2021,PA,10323343,7793760
2021,RI,834543,741852
2021,SC,3030052,2570465
2021,SD,606685,489534
2021,TN,3914171,3436492
2021,TX,19193906,16372745
2021,UT,2112723,1840102
2021,VA,5436824,4683176
2021,VT,414140,356394
2021,WA,5497872,4978514
2021,WI,3828187,3498015
2021,WV,1298136,1042247
2021,WY,312064,265715
2022,AL,2938482,2407803
2022,AR,1879822,1575927
2022,AZ,5489604,4697873
2022,CA,34167200,28841351
2022,CO,4533634,4092388
2022,CT,3546536,2897469
2022,DE,819109,683348
2022,FL,17340725,14646090
2022,GA,6148821,5395835
2022,IA,2151230,1970061
2022,ID,1109437,986340
2022,IL,9750958,8822126
2022,IN,4235343,3820788
2022,KS,2067266,1778481
2022,KY,2862172,2497270
2022,LA,2820633,2473138
2022,MA,6417752,5182871
2022,MD,5394473,4713952
2022,ME,1236806,1073130
2022,MI,6020592,5853258
2022,MN,4157222,3838325
2022,MO,3842256,3296511
2022,MS,1789595,1563769
2022,MT,687668,604075
2022,NC,9253051,6776450
2022,ND,481839,412498
2022,NE,1009900,1160507
2022,NH,1385010,932243
2022,NJ,7984311,6590530
2022,NM,1890026,1523239
2022,NV,2264504,1859927
2022,NY,17695853,15268667
2022,OH,7462370,6947850
2022,OK,2739926,2235739
2022,OR,3326923,2972413
2022,PA,10773272,8860396
2022,RI,919108,813723
2022,SC,3351861,2856059
2022,SD,709545,563812
2022,TN,4264179,3748593
2022,TX,21827541,18136083
2022,UT,2347092,2081414
2022,VA,6113071,5132960
2022,VT,452371,390303
2022,WA,6141292,5537564
2022,WI,4181643,3828339
2022,WV,1172296,1036392
2022,WY,343101,299887
